Gene	LK1	LK2	LK3	LK4	LK5	LK6
ACSS3	4.386685091	4.336066004	4.372839815	4.419875786	4.4278642889999995	4.435860753
ACTA1	4.55137155	4.361510449	4.39076734	4.367117273	4.325503174	4.305249871
ACTA2	4.847228353	4.79015405	4.94714084	5.03413379	4.858193826	4.940556109
ACTB	12.594376400000002	13.12987683	12.77066156	12.83563372	12.68453979	13.41693015
ACTBL2	4.39076734	4.2994522669999995	4.354200506000001	4.343822039	4.336900526	4.298071967
ACTC1	4.548335207	4.476223469	4.565980632	4.395437785	4.439821263	4.4639233439999995
ACTG2	4.30524065	4.501727555	4.3123043910000005	4.296802295	4.323659721	4.2773414160000005
ACTL6A	10.61650017	10.92826325	10.59454734	10.46424489	10.71563061	10.49395286
ACTL6B	5.376890437	5.241948951	4.903063568	5.497854802000001	5.347868018	5.577888893
ACTL7A	4.441215007	4.40390428	4.556815661	4.396823549	4.38316565	4.309957869
ACTL7B	4.384662948	4.463707232	4.386685091	4.2852992069999996	4.3524062830000005	4.527541307
ACTN1	8.491056187	9.160200109	8.95610129	9.078031667000001	8.828100614	9.274448898
ACTN2	4.602225018	4.428503558	4.529506518	4.510853085	4.458635548	4.490666033
ACTN4	10.33904869	10.29709437	10.46145083	10.16040346	10.50522142	10.32228162
ACTR10	10.91886103	10.98739219	10.79651045	10.85455444	10.75053703	10.67919156
ACTR1A	10.7397992	10.41367767	10.91946947	10.4329824	10.67784914	10.67379228
ACTR1B	9.143216186	8.987255578	9.444956957	9.018586051	9.331302217000001	9.364456507
ACTR2	4.628936545	4.680446421	4.296802295	4.6048399280000005	4.437046498	4.82843083
ACTR3	12.14825583	12.21782052	12.04455249	12.36211424	11.99941474	12.37335151
ACTR3B	5.1210360569999995	5.12599048	5.034551367	5.05362427	5.096638144	4.979662655
ACTR5	7.990654455	7.753781901	7.9030354560000005	7.402738089	7.874860681	7.862670621
ACTR6	5.148903749	5.629004083	5.482264269	5.4308483579999995	5.570456397	5.125320629
ACTR8	4.768336269	5.609710024	4.803844947	5.169915093	4.989736423	5.448098146
ACTRT1	4.28061526	4.312810986000001	4.220113566	4.2852992069999996	4.2798009960000005	4.461168092
ACTRT2	4.919325332	4.8876603880000005	4.700308934	4.870562478	4.71990383	4.6937720060000006
ACVR1	5.916028728	5.807547864	6.113335647	6.136932121	5.841268981	6.334294817000001
ACVR1B	6.010237028	6.325701901	6.252136511000001	6.454319041000001	6.496074011	6.3233767620000005
ACVR1C	4.524865017	4.473602981	4.39076734	4.31329021	4.4464670139999996	4.223061228
ACVR2A	4.7185905539999995	4.617881737	4.6296658310000005	4.572329948999999	4.453975845	4.735648337
ACVR2B	7.17913314	6.607902836	6.974810724	6.690422214	6.989124241	6.904598896
ACVRL1	4.511349818999999	4.726659667	4.651964233999999	4.481550503	4.823998519	4.697498685
ACY1	9.346673358	9.635606944	9.503985432	9.507838303	9.565429686	9.610879482
ACY3	5.94977239	6.477845136	6.274925287	6.501259194	6.338089267000001	6.1434093370000005
ACYP1	4.422328793	4.62677803	4.489336436	4.547485276000001	4.522894607	4.416507003
ACYP2	4.83250941	5.132928677	4.975892391	4.763401132	4.9624193530000005	5.441896604
ADA	7.845628249	8.088706275	7.768550686	7.8758334979999995	7.745430296	8.064232768
ADAD1	4.363054932	4.481296314	4.299957357	4.289529331000001	4.2852992069999996	4.39491136
ADAL	7.506052576	7.565079476	7.584689714	7.717084829	7.18934226	7.247147739
ADAM10	5.463638443	5.5531861110000005	5.241948951	5.761330962000001	5.5076454120000005	5.120969135
ADAM11	4.746352161	4.753289697	5.01801085	4.882597419	4.63606671	4.731808591
ADAM12	4.511349818999999	4.439434697	4.526547255	4.51686316	4.557851761	4.376562696000001
ADAM15	7.682534906	7.8385286910000005	7.843771592	8.075062101	7.915338837999999	8.551921109
ADAM17	8.82505534	8.499800851	8.778094765	9.101355138999999	8.716194815	8.753471496
ADAM18	4.302029077	4.279906371	4.2568936619999995	4.357383702	4.294990873	4.367117273
